----------------------------------------------------------------------------------------------------------
GateType   Output     GateLevel  #faninN    fanin                #fanoutM   fanout               GateName  

DFF        BUFXG1XG1503 0          1          BUFXG16609XG1        4          BUFXG1XG1503  BUFXG1XG3879 BUFXG1XG3880 BUFXG1XG11259 XG1       

DFF        BUFXG2XG1504 0          1          BUFXG19575XG2        3          BUFXG2XG1504  BUFXG2XG7588 BUFXG2XG8670 XG2       

DFF        BUFXG3XG1505 0          1          BUFXG18907XG3        3          BUFXG3XG1505  BUFXG3XG8669 BUFXG3XG15001 XG3       

DFF        BUFXG4XG1506 0          1          BUFXG13461XG4        3          BUFXG4XG1506  BUFXG4XG1507 BUFXG4XG11258 XG4       

DFF        BUFXG5XG1508 0          1          BUFXG18926XG5        3          BUFXG5XG1508  BUFXG5XG8668 BUFXG5XG14431 XG5       

DFF        BUFXG6XG1509 0          1          BUFXG11727XG6        4          BUFXG6XG1509  BUFXG6XG1510 BUFXG6XG3881 BUFXG6XG8667 XG6       

DFF        BUFXG7XG1511 0          1          BUFXG14942XG7        3          BUFXG7XG1511  BUFXG7XG8666 BUFXG7XG12206 XG7       

DFF        BUFXG8XG1512 0          1          BUFXG9XG8            2          BUFXG8XG1512  BUFXG8XG8665 XG8       

DFF        BUFXG9XG8  0          1          BUFXG118XG9          5          BUFXG9XG8  BUFXG9XG1513 BUFXG9XG1514 BUFXG9XG3875 BUFXG9XG3876 XG9       

DFF        BUFXG10XG1515 0          1          BUFXG16553XG10       3          BUFXG10XG1515  BUFXG10XG5237 BUFXG10XG11257 XG10      

DFF        BUFXG11XG5837 0          1          BUFXG18545XG11       3          BUFXG11XG5837  BUFXG11XG7592 BUFXG11XG11256 XG11      

DFF        BUFXG12XG1516 0          1          BUFXG11731XG12       4          BUFXG12XG1516  BUFXG12XG7115 BUFXG12XG7593 BUFXG12XG8664 XG12      

DFF        BUFXG13XG7116 0          1          BUFXG11732XG13       3          BUFXG13XG7116  BUFXG13XG7594 BUFXG13XG8663 XG13      

DFF        BUFXG14XG6571 0          1          BUFXG18532XG14       3          BUFXG14XG6571  BUFXG14XG7117 BUFXG14XG11255 XG14      

DFF        BUFXG15XG5838 0          1          BUFXG18565XG15       3          BUFXG15XG5838  BUFXG15XG7118 BUFXG15XG11254 XG15      

DFF        BUFXG16XG1517 0          1          BUFXG11734XG16       4          BUFXG16XG1517  BUFXG16XG3882 BUFXG16XG6572 BUFXG16XG8662 XG16      

DFF        BUFXG17XG1518 0          1          BUFXG19900XG17       4          BUFXG17XG1518  BUFXG17XG8661 BUFXG17XG12207 BUFXG17XG13623 XG17      

DFF        BUFXG18XG1519 0          1          BUFXG18793XG18       3          BUFXG18XG1519  BUFXG18XG8660 BUFXG18XG14801 XG18      

DFF        BUFXG19XG7119 0          1          BUFXG18520XG19       3          BUFXG19XG7119  BUFXG19XG7120 BUFXG19XG11253 XG19      

DFF        BUFXG20XG1520 0          1          BUFXG19157XG20       8          BUFXG20XG1520  BUFXG20XG1521 BUFXG20XG3883 BUFXG20XG8659 BUFXG20XG14105 BUFXG20XG14106 BUFXG20XG14802 BUFXG20XG15606 XG20      

DFF        BUFXG21XG5839 0          1          BUFXG18548XG21       3          BUFXG21XG5839  BUFXG21XG7121 BUFXG21XG11252 XG21      

DFF        BUFXG22XG1522 0          1          BUFXG18446XG22       7          BUFXG22XG1522  BUFXG22XG1523 BUFXG22XG3884 BUFXG22XG4210 BUFXG22XG11251 BUFXG22XG14433 BUFXG22XG15313 XG22      

DFF        BUFXG23XG1524 0          1          BUFXG19852XG23       4          BUFXG23XG1524  BUFXG23XG1525 BUFXG23XG1526 BUFXG23XG8658 XG23      

DFF        BUFXG24XG5842 0          1          BUFXG25XG24          3          BUFXG24XG5842  BUFXG24XG5843 BUFXG24XG8657 XG24      

DFF        BUFXG25XG24 0          1          BUFXG299XG25         4          BUFXG25XG24  BUFXG25XG1527 BUFXG25XG7122 BUFXG25XG7123 XG25      

DFF        BUFXG26XG1528 0          1          BUFXG11738XG26       6          BUFXG26XG1528  BUFXG26XG1529 BUFXG26XG3885 BUFXG26XG3886 BUFXG26XG5844 BUFXG26XG8656 XG26      

DFF        BUFXG27XG1530 0          1          BUFXG11879XG27       2          BUFXG27XG1530  BUFXG27XG1531 XG27      

DFF        BUFXG28XG1532 0          1          BUFXG20030XG28       3          BUFXG28XG1532  BUFXG28XG8654 BUFXG28XG16802 XG28      

DFF        BUFXG29XG1533 0          1          BUFXG20006XG29       2          BUFXG29XG1533  BUFXG29XG1534 XG29      

DFF        BUFXG30XG1535 0          1          BUFXG18443XG30       5          BUFXG30XG1535  BUFXG30XG3887 BUFXG30XG4216 BUFXG30XG11250 BUFXG30XG15315 XG30      

DFF        BUFXG31XG1536 0          1          BUFXG15458XG31       3          BUFXG31XG1536  BUFXG31XG1537 BUFXG31XG8652 XG31      

DFF        BUFXG32XG1538 0          1          BUFXG11740XG32       3          BUFXG32XG1538  BUFXG32XG6582 BUFXG32XG8651 XG32      

DFF        BUFXG33XG350 0          1          BUFXG11753XG33       8          BUFXG33XG350  BUFXG33XG1539 BUFXG33XG1540 BUFXG33XG1541 BUFXG33XG4222 BUFXG33XG5848 BUFXG33XG7119 BUFXG33XG7124 XG33      

DFF        BUFXG34XG1542 0          1          BUFXG35XG34          4          BUFXG34XG1542  BUFXG34XG1543 BUFXG34XG3888 BUFXG34XG6407 XG34      

DFF        BUFXG35XG34 0          1          BUFXG976XG35         3          BUFXG35XG34  BUFXG35XG1543 BUFXG35XG1544 XG35      

DFF        BUFXG36XG1545 0          1          BUFXG18786XG36       3          BUFXG36XG1545  BUFXG36XG8650 BUFXG36XG14803 XG36      

DFF        BUFXG37XG1546 0          1          BUFXG17773XG37       6          BUFXG37XG1546  BUFXG37XG3889 BUFXG37XG5238 BUFXG37XG8649 BUFXG37XG12726 BUFXG37XG14804 XG37      

DFF        BUFXG38XG397 0          1          BUFXG39XG38          5          BUFXG38XG397  BUFXG38XG1547 BUFXG38XG3890 BUFXG38XG5850 BUFXG38XG5851 XG38      

DFF        BUFXG39XG38 0          1          BUFXG89XG39          7          BUFXG39XG38  BUFXG39XG1548 BUFXG39XG1549 BUFXG39XG3891 BUFXG39XG4226 BUFXG39XG7121 BUFXG39XG7125 XG39      

DFF        BUFXG40XG1550 0          1          BUFXG16537XG40       5          BUFXG40XG1550  BUFXG40XG3892 BUFXG40XG4227 BUFXG40XG11249 BUFXG40XG15317 XG40      

DFF        BUFXG41XG1551 0          1          BUFXG16576XG41       5          BUFXG41XG1551  BUFXG41XG1552 BUFXG41XG3893 BUFXG41XG11248 BUFXG41XG14107 XG41      

DFF        BUFXG42XG5852 0          1          BUFXG13883XG42       5          BUFXG42XG5852  BUFXG42XG7109 BUFXG42XG7598 BUFXG42XG8648 BUFXG42XG11741 XG42      

DFF        BUFXG43XG1553 0          1          BUFXG44XG43          2          BUFXG43XG1553  BUFXG43XG13169 XG43      

DFF        BUFXG44XG43 0          1          BUFXG3106XG44        1          BUFXG44XG43          XG44      

DFF        BUFXG45XG1554 0          1          BUFXG11976XG45       4          BUFXG45XG1554  BUFXG45XG4231 BUFXG45XG4232 BUFXG45XG8647 XG45      

DFF        BUFXG46XG1555 0          1          BUFXG16633XG46       3          BUFXG46XG1555  BUFXG46XG7126 BUFXG46XG11247 XG46      

DFF        BUFXG47XG1556 0          1          BUFXG18895XG47       3          BUFXG47XG1556  BUFXG47XG8646 BUFXG47XG14807 XG47      

DFF        BUFXG48XG1557 0          1          BUFXG14899XG48       6          BUFXG48XG1557  BUFXG48XG3894 BUFXG48XG5235 BUFXG48XG8645 BUFXG48XG12208 BUFXG48XG15470 XG48      

DFF        BUFXG49XG1558 0          1          BUFXG19587XG49       6          BUFXG49XG1558  BUFXG49XG3895 BUFXG49XG3896 BUFXG49XG8644 BUFXG49XG18490 BUFXG49XG18846 XG49      

DFF        BUFXG50XG5855 0          1          BUFXG18585XG50       3          BUFXG50XG5855  BUFXG50XG9430 BUFXG50XG11246 XG50      

DFF        BUFXG51XG1559 0          1          BUFXG14959XG51       3          BUFXG51XG1559  BUFXG51XG8642 BUFXG51XG12209 XG51      

DFF        BUFXG52XG128 0          1          BUFXG11764XG52       8          BUFXG52XG128  BUFXG52XG1560 BUFXG52XG1561 BUFXG52XG1562 BUFXG52XG4234 BUFXG52XG5819 BUFXG52XG6585 BUFXG52XG6587 XG52      

DFF        BUFXG53XG1563 0          1          BUFXG14201XG53       7          BUFXG53XG1563  BUFXG53XG4235 BUFXG53XG5239 BUFXG53XG12712 BUFXG53XG13168 BUFXG53XG13275 BUFXG53XG14055 XG53      

